State,Rate of Intermarriage
Hawaii,38.2
Oklahoma,24.5
Alaska,20.9
Nevada,20.2
District of Columbia,19.9
Arizona,19.5
Colorado,18.9
Oregon,18.9
New Mexico,18.4
Washington,17.8
California,17.8
Florida,17
Delaware,15.8
Wyoming,15.8
Utah,15.7
Virginia,15.3
Texas,14.6
Maryland,14.2
Idaho,14
Connecticut,13.9
Montana,13.6
North Carolina,13.3
New Jersey,12.6
Kansas,12.2
Massachusetts,12.1
Illinois,12.1
New York,11.7
South Dakota,11.7
Nebraska,11.2
Arkansas,11
Georgia,10.9
Minnesota,10.8
Missouri,9.9
South Carolina,9.8
Iowa,9.7
Indiana,9.3
Kentucky,9.2
Louisiana,9.1
Michigan,9
New Hampshire,9
Alabama,9
Tennessee,8.9
Wisconsin,8.7
Rhode Island,8.3
Ohio,8.2
Pennsylvania,8
North Dakota,7.4
Mississippi,6.8
Vermont,6.8
West Virginia,5.8
Maine,5.4
